ID,ULTIMO_INGRESO,ID_FAB,DETALLE,CANTIDAD,COSTO_U,COSTO_TOTAL,VENTA_TOTAL,GANANCIA,BENF_COST_%,BENF_VENT_%,COTIZACION,PROVEEDOR
121063,26/05/2026,GV-R9060XTGAMING OC-16GD,PLACA DE VIDEO GIGABYTE RADEON RX 9060XT GAMING OC 16GB,9.000,439.45000,3955.05000000,4586.05,631,15.95,13.76,,LASET S.A.
103722,20/05/2026,31730029401,PARLANTE GENIUS USB SP-HF180 BLACK,4.000,6.38000,25.52000000,31.9,6.38,25.02,20.01,,LASET S.A.
119972,09/03/2026,25548,WEBCAM TRUST TANOR FULL HD,1.000,15.37000,15.37000000,19.21,3.84,24.96,19.97,,LASET S.A.
120098,17/02/2025,31030039407,MOUSE WIRELESS MINI GENIUS ERGO 9000S PRO RECARGABLE PINE/WOOD,1.000,11.25000,11.25000000,10.34,-0.91,-8.07,-8.78,,LASET S.A.
119117,23/04/2026,NT01SA500-960-S3X,DISCO SSD NETAC SA500 2.5 SATA3 960 GB,1.000,42.40000,42.40000000,144.11,101.71,239.87,70.58,,LASET S.A.
120145,,I801AWF,GABINETE GAMER RAIDMAX INFINITA i801 AIR WHITE E-ATX TG ARGB,1.000,33.39000,33.39000000,54.07,20.68,61.93,38.25,,LASET S.A.
120205,26/06/2026,PRIME B840M-A WIFI,MOTHER ASUS (AM5) PRIME B840M-A WIFI,1.000,113.88000,113.88000000,135.47,21.59,18.96,15.93,,LASET S.A.
121105,24/06/2026,25145,MOUSE GAMER TRUST BAYO II + ERGO WIRELESS BLACK,2.000,14.70000,29.40000000,33.62,4.22,14.35,12.55,,LASET S.A.
122768,26/05/2026,B850M EAGLE WF6E ICE,MOTHER GIGABYTE (AM5) B850M EAGLE WF6E ICE,3.000,140.62000,421.86000000,493.36,71.5,16.95,14.49,,LASET S.A.
101260,23/04/2026,TR2-600NL2NC,FUENTE GAMER THERMALTAKE TR2 600W,1.000,50.08500,50.08500000,31.04,-19.05,-38.03,-61.37,,LASET S.A.
116713,28/04/2026,100-100000457BOX,PROCESADOR AMD (AM4) RYZEN 5 5500 3.6GHZ,37.000,83.63000,3094.31000000,3582.07,487.76,15.76,13.62,,LASET S.A.
118449,11/12/2025,RZ01-04660100-R3U1,MOUSE GAMER RAZER COBRA PRO BLACK WIRELESS,1.000,82.33000,82.33000000,79.63,-2.7,-3.28,-3.39,,LASET S.A.
104654,21/05/2026,PSD48G320081,MEMORIA PATRIOT SIGNATURE LINE DDR4 8 GB 3200 MHZ PS001556,15.000,60.68000,910.20000000,1036.04,125.84,13.83,12.15,,LASET S.A.
118151,28/04/2026,100-100000910WOF,PROCESADOR AMD (AM5)  RYZEN 7 7800X3D,1.000,372.08000,372.08000000,412.84,40.76,10.96,9.87,,LASET S.A.
120211,26/06/2026,TUF GAMING B860-PLUS WIFI,MOTHER ASUS (LGA 1851) TUF GAMING B860-PLUS WIFI,1.000,186.35000,186.35000000,212.35,26,13.95,12.25,,LASET S.A.
104833,03/12/2025,ARXGU-80PBZ-650W,FUENTE GAMER AUREOX 650W BRONZE 80+PSU,33.000,23.63000,779.79000000,1114.81,335.02,42.96,30.05,,LASET S.A.
104835,22/05/2026,RZ04-03240100-R3U1,AURICULAR GAMER RAZER BLACKSHARK V2 X BLACK ANALOG 3.5mm,9.000,35.60000,320.40000000,432.37,111.97,34.95,25.9,,LASET S.A.
117859,07/03/2025,929002690312,LAMPARA WIZ HUE WI-FI BLE PORTABLE SQUIRE TYPE C,2.000,37.43177,74.86354000,87.56,12.69,16.95,14.5,,SIGNIFY ARGENTINA S.A.
119706,20/05/2026,31730049402,PARLANTE GENIUS SP-HF1200B 36W 2WAY,1.000,45.40000,45.40000000,55.37,9.97,21.95,18,,LASET S.A.
