"CODIGO";"ID FABRICANTE";"CATEGORIA";"DETALLE";"IMAGEN";"IVA";"STOCK";"GARANTIA";"MONEDA";"PRECIO";"PRECIO FINAL";"COTIZACION DOLAR";"PRECIO PESOS SIN IVA";"PRECIO PESOS CON IVA";"ATRIBUTOS";"PRECIO USD CON UTILIDAD";"PRECIO PESOS CON UTILIDAD";"CATEGORIA_USUARIO";"UTILIDAD";"DETALLE_USUARIO";"PESO";"ALTO";"ANCHO";"LARGO";"";"IMPUESTO_INTERNO";"MARCA"
"100653";"ONP-1BM-0700A-US";"OUTLET";"OUTLET FUENTE GAMER NZXT SERIES HALE82 V2 700W";"https://static.nb.com.ar/i/nb_OUTLET-FUENTE-GAMER-NZXT-SERIES-HALE82-V2-700W_export_1d782a0e1d4e44add8e1f4f3fcc03acc.jpeg";"21.0%";"1";"3 MESES";"U$S";"154.55";"187.01";"1500";"231831.81";"280516.49";"Detalle del outlet:Consulte, es posible que el producto tenga algún faltante o la caja se encuentre en mal estado etc.
Aclaración:Todas las imágenes son ilustrativas.";"188.88";"283321.65";"OUTLET                        ";"1";"OUTLET FUENTE GAMER NZXT SERIES HALE82 V2 700W";"700";"150";"150";"150";"";"0";"NZXT                                              "
"100655";"ONP-1BM-0550A-AR";"OUTLET";"OUTLET FUENTE GAMER NZXT SERIES HALE82 V2 550W";"https://static.nb.com.ar/i/nb_OUTLET-FUENTE-GAMER-NZXT-SERIES-HALE82-V2-550W_export_1d782a0e1d4e44add8e1f4f3fcc03acc.jpeg";"21.0%";"1";"3 MESES";"U$S";"138.76";"167.9";"1500";"208144.49";"251854.83";"Detalle del outlet:Consulte, es posible que el producto tenga algún faltante o la caja se encuentre en mal estado etc.
Aclaración:Todas las imágenes son ilustrativas.";"169.58";"254373.38";"OUTLET                        ";"1";"OUTLET FUENTE GAMER NZXT SERIES HALE82 V2 550W";"700";"150";"150";"150";"";"0";"NZXT                                              "
"117174";"OIQ19";"OUTLET";"OUTLET MONITOR IQUAL FLAT 19 IQ19 BLACK";"https://static.nb.com.ar/i/nb_OUTLET-MONITOR-IQUAL-FLAT-19-IQ19-BLACK_export_a39cae7b6b5cc169c6689d10838974a6.jpeg";"21.0%";"1";"3 meses";"U$S";"165.31";"200.03";"1500";"247965.74";"300038.54";"Condición:OUTLET";"202.03";"303038.93";"OUTLET                        ";"1";"OUTLET MONITOR IQUAL FLAT 19 IQ19 BLACK";"700";"150";"150";"150";"";"0";"IQUAL"
"117204";"ORC21-01490300-R3M1";"OUTLET";"OUTLET KEYCAP SET RAZER QUARTZ PINK";"https://static.nb.com.ar/i/nb_OUTLET-KEYCAP-SET-RAZER-QUARTZ-PINK_export_bf86e8bf28335dec336ed526b73a36b3.jpeg";"10.5%";"1";"3 meses";"U$S";"24.08";"26.6";"1500";"36112.83";"39904.68";"Condicion:OUTLET";"26.87";"40303.73";"OUTLET                        ";"1";"OUTLET KEYCAP SET RAZER QUARTZ PINK";"700";"150";"150";"150";"";"0";"RAZER"
"1574";"OENDSL-A2";"OUTLET";"OUTLET ROUTER ENCORE ADSL ENDSL-A2";"https://static.nb.com.ar/i/nb_OUTLET-ROUTER-ENCORE-ADSL-ENDSL-A2_export_408b74441646ffdd4dcd2b4de9ba200a.jpeg";"10.5%";"1";"3 meses";"U$S";"59.5";"65.75";"1500";"89252.51";"98624.02";"Aclaración:Todas las imágenes son ilustrativas.
Detalle del outlet:Consulte, es posible que el producto tenga algún faltante o la caja se encuentre en mal estado etc.";"66.41";"99610.26";"OUTLET                        ";"1";"OUTLET ROUTER ENCORE ADSL ENDSL-A2";"700";"150";"150";"150";"";"0";"ENCORE                                            "
"100646";"O100-W1-0430-KR";"OUTLET";"OUTLET FUENTE GAMER EVGA 430W";"https://static.nb.com.ar/i/nb_OUTLET-FUENTE-GAMER-EVGA-430W_export_48c5e3cf571f64336bcdb4687d7bc568.jpeg";"21.0%";"3";"3 meses";"U$S";"50.17";"60.71";"1500";"75258.15";"91062.36";"Detalle del outlet:Consulte, es posible que el producto tenga algún faltante o la caja se encuentre en mal estado etc.
Aclaración:Todas las imágenes son ilustrativas.";"61.32";"91972.98";"OUTLET                        ";"1";"OUTLET FUENTE GAMER EVGA 430W";"700";"150";"150";"150";"";"0";"EVGA                                              "
"116930";"ODCS-2103";"OUTLET";"OUTLET CAMARA IP D-LINK HD DCS-2103 (CAJA DAÑADA - SIN TRAFO)";"https://static.nb.com.ar/i/nb_OUTLET-CAMARA-IP-D-LINK-HD-DCS-2103-(CAJA-DAÑADA---SIN-TRAFO)_export_4731db5c44b2243762390a7e2a19884b.jpeg";"21.0%";"1";"3 meses";"U$S";"44.4";"53.73";"1500";"66602.85";"80589.45";"CONDICION:OUTLET
CONDICION:OUTLET";"54.26";"81395.34";"OUTLET                        ";"1";"OUTLET CAMARA IP D-LINK HD DCS-2103 (CAJA DAÑADA - SIN TRAFO)";"700";"150";"150";"150";"";"0";"D-LINK                                            "
"117160";"O31330210101";"OUTLET";"OUTLET TECLADO GENIUS + MOUSE KM-130 USB";"https://static.nb.com.ar/i/nb_OUTLET-TECLADO-GENIUS-+-MOUSE-KM-130-USB_export_1ac5a9e4cfb51801812ea7c0585993d0.jpeg";"10.5%";"5";"3 meses";"U$S";"65.71";"72.61";"1500";"98571";"108920.96";"Condición:OUTLET";"73.34";"110010.17";"OUTLET                        ";"1";"OUTLET TECLADO GENIUS + MOUSE KM-130 USB";"700";"150";"150";"150";"";"0";"GENIUS"
"103261";"ORZ04-02230100-R3U1";"OUTLET";"OUTLET AURICULAR GAMER RAZER THRESHER 7.1 WIR PS4";"https://static.nb.com.ar/i/nb_OUTLET-AURICULAR-GAMER-RAZER-THRESHER-7.1-WIR-PS4_export_b59da99933cc1b6bc96f53dc75ba35f0.jpeg";"21.0%";"2";"3 meses";"U$S";"192.12";"232.47";"1500";"288182.66";"348701.01";"Aclaración:Todas las imágenes son ilustrativas.
Detalle del outlet:Consulte, es posible que el producto tenga algún faltante o la caja se encuentre en mal estado etc.";"234.79";"352188.03";"OUTLET                        ";"1";"OUTLET AURICULAR GAMER RAZER THRESHER 7.1 WIR PS4";"700";"150";"150";"150";"";"0";"RAZER"
"111577";"OKB-PIZ-KBBLUS-01";"OUTLET";"OUTLET TECLADO TT ESPORTS TECL MECHANICAL POSEIDON Z";"https://static.nb.com.ar/i/nb_OUTLET-TECLADO-TT-ESPORTS-TECL-MECHANICAL-POSEIDON-Z_export_2d1ad509751c7c7439f991e4c11d3c44.jpeg";"10.5%";"1";"3 meses";"U$S";"90.56";"100.07";"1500";"135847.02";"150110.96";"CONDICION:OUTLET";"101.07";"151612.07";"OUTLET                        ";"1";"OUTLET TECLADO TT ESPORTS TECL MECHANICAL POSEIDON Z";"700";"150";"150";"150";"";"0";"TT ESPORTS"
"111573";"ORZ04-03520100-R3U1";"OUTLET";"OUTLET AURICULAR GAMER RAZER KRAKEN BT KITTY EDITION - QUARTZ";"https://static.nb.com.ar/i/nb_OUTLET-AURICULAR-GAMER-RAZER-KRAKEN-BT-KITTY-EDITION---QUARTZ_export_33a6b2bb9cb438a455f2d749eaf82141.jpeg";"21.0%";"1";"3 meses";"U$S";"110.31";"133.48";"1500";"165469.5";"200218.1";"CONDICION:OUTLET";"134.81";"202220.28";"OUTLET                        ";"1";"OUTLET AURICULAR GAMER RAZER KRAKEN BT KITTY EDITION - QUARTZ";"700";"150";"150";"150";"";"0";"RAZER"
"111575";"ORZ03-03531700-R3M1";"OUTLET";"OUTLET TECLADO GAMER RAZER BLACKWIDOW V3 PRO WIRELESS YELLOW SWITCH";"https://static.nb.com.ar/i/nb_OUTLET-TECLADO-GAMER-RAZER-BLACKWIDOW-V3-PRO-WIRELESS-YELLOW-SWITCH_export_eacf0678a7d28b4d98caf5abe5838f95.jpeg";"10.5%";"1";"3 meses";"U$S";"177.76";"196.43";"1500";"266643.51";"294641.08";"CONDICION:OUTLET";"198.39";"297587.49";"OUTLET                        ";"1";"OUTLET TECLADO GAMER RAZER BLACKWIDOW V3 PRO WIRELESS YELLOW SWITCH";"700";"150";"150";"150";"";"0";"RAZER"
"110928";"O31710169100";"OUTLET";"OUTLET AURICULAR GENIUS HS-400A GREEN";"https://static.nb.com.ar/i/nb_OUTLET-AURICULAR-GENIUS-HS-400A-GREEN_export_79088f0533aae2ebfa8960d1a9ca8ea3.jpeg";"21.0%";"3";"3 meses";"U$S";"10.38";"12.56";"1500";"15573.6";"18844.06";"CONDICION:OUTLET";"12.69";"19032.5";"OUTLET                        ";"1";"OUTLET AURICULAR GENIUS HS-400A GREEN";"700";"150";"150";"150";"";"0";"GENIUS"
"110929";"O31710156101";"OUTLET";"OUTLET AURICULAR GENIUS HS-04S";"https://static.nb.com.ar/i/nb_OUTLET-AURICULAR-GENIUS-HS-04S_export_9cae4070659236ae33f9d345671be19c.jpeg";"21.0%";"6";"3 meses";"U$S";"8.5";"10.29";"1500";"12750.89";"15428.57";"CONDICION:OUTLET";"10.39";"15582.86";"OUTLET                        ";"1";"OUTLET AURICULAR GENIUS HS-04S";"700";"150";"150";"150";"";"0";"GENIUS"
