ID,Ultimo_Ingreso,ID_Fab,Detalle,Cantidad,Costo_U,Costo,Venta,Renta,Benf_Cost,Benf_Vent,Cotizacion,Proveedor
2936,13/11/2025,SFX_500,FUENTE SFX 500W 20+4 SATA,16.000,8.48000,135.68000000,155.4,19.72,14.53,12.69,,LASET S.A.
3497,27/11/2024,31710037100,AURICULAR + MIC HEADSET GENIUS HS-02B,1.000,5.73300,5.73300000,2.86,-2.88,-50.19,-100.77,,New Bytes INC
100178,09/02/2026,GV-N710D3-2GL,PLACA DE VIDEO GIGABYTE GT 710 2GB DDR3,1.000,41.48000,41.48000000,64.43,22.95,55.34,35.62,,LASET S.A.
101157,17/10/2025,IT-F22,SOPORTE INTELAID TV FIJO 23/42 VESA 200X200 IT-F22,1.000,5.65537,5.65537000,6.34,0.69,12.18,10.86,,SERVICE & ENTERTAINMENT S A
101260,23/04/2026,TR2-600NL2NC,FUENTE GAMER THERMALTAKE TR2 600W,1.000,50.08500,50.08500000,45.39,-4.7,-9.37,-10.34,,LASET S.A.
102048,06/11/2024,,SERVICIO DE TRANSPORTE,656.000,12.60000,8265.60000000,92.84,-8172.76,-98.88,-8803.39,,New Bytes INC
102157,,,COSTO FINANCIERO,104.000,4.55868,474.10272000,3936.38,3462.28,730.28,87.96,,
102229,20/09/2022,ZN587U,CABLE UTP SFX  CAT5e 305M INTERIOR,1.000,47.38860,47.38860000,33.53,-13.85,-29.24,-41.31,,LASET S.A.
102231,20/09/2022,ZN687U,CABLE UTP SFX CAT5e 305M EXTERIOR,1.000,54.72180,54.72180000,44.4,-10.32,-18.86,-23.25,,LASET S.A.
102278,20/05/2026,31300005401,TECLADO GENIUS KB-100 SMART USB BLACK,20.000,4.26000,85.20000000,89.7,4.5,5.28,5.02,,LASET S.A.
103020,27/06/2024,C11CG96303,IMPRESORA EPSON M1120 MONO,1.000,289.01270,289.01270000,210.6,-78.41,-27.13,-37.23,,CORCISA SA
103094,21/05/2026,YD3200C5FHBOX,PROCESADOR AMD (AM4) RYZEN 3 3200G,2.000,56.84000,113.68000000,119.26,5.58,4.91,4.68,,LASET S.A.
103319,13/11/2025,SFX-GC783,GABINETE SFX KIT 783 BLACK,11.000,22.35000,245.85000000,293.12,47.27,19.23,16.13,,LASET S.A.
103722,20/05/2026,31730029401,PARLANTE GENIUS USB SP-HF180 BLACK,42.000,6.38000,267.96000000,318.1,50.14,18.71,15.76,,LASET S.A.
103748,13/05/2026,TCA-2000N-V,LYONN ESTABILIZADOR ELECT. TCA-2000N-V,7.000,23.72141,166.04987000,189.67,23.62,14.22,12.45,,SOLYTEC
103749,18/05/2026,TCA-1200N-V,LYONN ESTABILIZADOR ELECT. TCA-1200N-V,16.000,16.60796,265.72736000,329.79,64.06,24.11,19.42,,SOLYTEC
103750,13/04/2026,DESIRE-500AP LED,LYONN UPS DESIRE-500AP LED,3.000,27.45500,82.36500000,93.11,10.75,13.05,11.54,,SOLYTEC
103753,19/05/2026,CTB-800AP-LCD,LYONN UPS CTB-800AP LCD,8.000,35.97650,287.81200000,341.92,54.11,18.8,15.83,,SOLYTEC
103792,20/05/2026,31730029400,PARLANTE GENIUS USB SP-HF180 MADERA,8.000,6.38000,51.04000000,60.06,9.02,17.66,15.01,,LASET S.A.
103804,04/12/2025,22524,ALFOMBRA TRUST PARA SILLA GAMER GXT 715,1.000,37.25000,37.25000000,46.81,9.56,25.66,20.42,,LASET S.A.
104172,26/01/2026,CTB-1200-AP-LCD,LYONN UPS CTB-1200-AP LCD,1.000,87.40000,87.40000000,98.88,11.48,13.13,11.61,,SOLYTEC
104320,11/12/2025,RZ02-03330300-R3U1,MOUSEPAD RAZER GIGANTUS V2 LARGE,15.000,12.42000,186.30000000,228.19,41.89,22.49,18.36,,LASET S.A.
104321,20/10/2025,RZ02-03330400-R3U1,MOUSEPAD RAZER GIGANTUS V2 XXL,4.000,25.02000,100.08000000,125.29,25.21,25.19,20.12,,LASET S.A.
104335,13/04/2022,21568,MOUSE PAD TRUST XL GXT 756,1.000,9.66420,9.66420000,10.8,1.14,11.77,10.53,,LASET S.A.
104560,06/07/2023,IT-DSX,SOPORTE ADAPTADOR INTELAID PARA MONITOR SIN VESA 13/27 IT-DSX,1.000,25.29714,25.29714000,17.54,-7.76,-30.68,-44.25,,SERVICE & ENTERTAINMENT S A
104654,21/05/2026,PSD48G320081,MEMORIA PATRIOT SIGNATURE LINE DDR4 8 GB 3200 MHZ PS001556,1.000,60.68000,60.68000000,71.38,10.7,17.63,14.99,,LASET S.A.
104659,25/06/2021,9H.N1DGB.A2E,BUNGEE MOUSE ZOWIE GEAR CAMADE II BLACK-RED,2.000,28.71540,57.43080000,40.98,-16.45,-28.64,-40.13,,New Bytes INC
104775,19/05/2026,PRIME B550M-K,MOTHER ASUS (AM4) PRIME B550M-K,10.000,68.77000,687.70000000,772.5,84.8,12.33,10.98,,LASET S.A.
104829,15/10/2025,ARXE-500,FUENTE AUREOX 500W ARXE-500,10.000,8.15000,81.50000000,125.28,43.78,53.72,34.95,,LASET S.A.
104830,03/12/2025,ARXGP-500W,FUENTE AUREOX 500W ARXGP 500,1.000,15.65000,15.65000000,20.91,5.26,33.62,25.16,,LASET S.A.
104831,23/04/2026,ARXGP-600W,FUENTE GAMER AUREOX 600W PSU ARXGP-600,3.000,16.71000,50.13000000,69.43,19.3,38.5,27.8,,LASET S.A.
