ID,Ultimo_Ingreso,ID_Fab,Detalle,Cantidad,Costo_U,Costo,Venta,Renta,Benf_Cost,Benf_Vent,Cotizacion,Proveedor
2936,13/11/2025,SFX_500,FUENTE SFX 500W 20+4 SATA,11.000,8.48000,93.28000000,105.75,12.47,13.37,11.79,,LASET S.A.
3497,27/11/2024,31710037100,AURICULAR + MIC HEADSET GENIUS HS-02B,14.000,5.73300,80.26200000,40.81,-39.45,-49.16,-96.68,,New Bytes INC
5030,28/08/2025,DES-1008C,D-LINK SWITCH DES-1008C 8 PUERTOS 10/100Mbps,1.000,6.24000,6.24000000,7.3,1.06,17.03,14.55,,EL AUDITOR SA
6396,07/04/2021,31100060102,GENIUS GRAPHIC TABLET MOUSEPEN I608X,1.000,39.32400,39.32400000,35.79,-3.53,-8.98,-9.87,,New Bytes INC
6897,19/02/2026,HUNNOX-1200VA LCD,HUNNOX UPS Y ESTABILIZADOR 1200VA LCD C/USB,1.000,53.98000,53.98000000,76.53,22.55,41.78,29.47,,LASET S.A.
6898,19/02/2026,HUNNOX-1500VA LCD,HUNNOX UPS Y ESTABILIZADOR 1500VA LCD C/USB,2.000,66.39000,132.78000000,203.61,70.83,53.34,34.79,,LASET S.A.
7557,08/08/2012,,ACCESORIOS SFX FICHA HDMI A DVI,1.000,5.62720,5.62720000,4.84,-0.78,-13.91,-16.16,,
101157,17/10/2025,IT-F22,SOPORTE INTELAID TV FIJO 23/42 VESA 200X200 IT-F22,1.000,5.65537,5.65537000,5.97,0.31,5.51,5.22,,SERVICE & ENTERTAINMENT S A
101306,07/04/2021,31710025100,AURICULAR + MIC HEADSET GENIUS HS-04S DUAL PLUG,1.000,8.25300,8.25300000,5.63,-2.62,-31.78,-46.58,,New Bytes INC
102048,06/11/2024,,SERVICIO DE TRANSPORTE,829.000,12.60000,10445.40000000,153.31,-10292.09,-98.53,-6713.4,,New Bytes INC
102070,19/02/2026,HUNNOX-1500VA LED,HUNNOX UPS 1500VA LED,1.000,62.66000,62.66000000,90.66,28,44.68,30.88,,LASET S.A.
102157,,,COSTO FINANCIERO,139.000,4.55868,633.65652000,5083.18,4449.52,702.2,87.53,,
102229,20/09/2022,ZN587U,CABLE UTP SFX  CAT5e 305M INTERIOR,1.000,47.38860,47.38860000,36.86,-10.53,-22.21,-28.56,,LASET S.A.
102230,20/09/2022,ZN586U,CABLE UTP SFX CAT5e 100M INTERIOR,1.000,21.60900,21.60900000,16.99,-4.62,-21.36,-27.16,,LASET S.A.
102231,20/09/2022,ZN687U,CABLE UTP SFX CAT5e 305M EXTERIOR,2.000,54.72180,109.44360000,86.96,-22.48,-20.54,-25.85,,LASET S.A.
102393,08/05/2026,CPU G60 GRIS,GRASA SILICONADA  PASTERMAX PARA CPU G60 (GRIS) PASTA TERMICA,10.000,1.32198,13.21980000,20.99,7.77,58.76,37.01,,RUBIÑO ANABEL ROMINA
102725,08/05/2026,CPU B30 BLANCA,GRASA SILICONADA PASTERMAX PARA CPU B30 (BLANCA) PASTA TERMICA,1.000,1.13321,1.13321000,1.53,0.4,34.98,25.92,,RUBIÑO ANABEL ROMINA
102894,13/11/2025,SFX-GC782,GABINETE SFX KIT 782 BLACK,1.000,22.35000,22.35000000,26.29,3.94,17.61,14.97,,LASET S.A.
103179,05/07/2022,HT-PLS-ANECBK-28,AURICULAR GAMER TT ESPORTS HT PULSE G100 ANALOG RGB BLACK,1.000,52.47900,52.47900000,33.75,-18.73,-35.69,-55.49,,LASET S.A.
103319,13/11/2025,SFX-GC783,GABINETE SFX KIT 783 BLACK,5.000,22.35000,111.75000000,135.96,24.21,21.67,17.81,,LASET S.A.
103722,20/05/2026,31730029401,PARLANTE GENIUS USB SP-HF180 BLACK,25.000,6.38000,159.50000000,189.23,29.73,18.64,15.71,,LASET S.A.
103748,13/05/2026,TCA-2000N-V,LYONN ESTABILIZADOR ELECT. TCA-2000N-V,6.000,23.72141,142.32846000,160.23,17.9,12.58,11.17,,SOLYTEC
103749,18/05/2026,TCA-1200N-V,LYONN ESTABILIZADOR ELECT. TCA-1200N-V,14.000,16.60796,232.51144000,286.82,54.31,23.36,18.93,,SOLYTEC
103750,13/04/2026,DESIRE-500AP LED,LYONN UPS DESIRE-500AP LED,1.000,27.45500,27.45500000,31.51,4.05,14.76,12.86,,SOLYTEC
103753,19/05/2026,CTB-800AP-LCD,LYONN UPS CTB-800AP LCD,6.000,35.97650,215.85900000,253.51,37.65,17.44,14.85,,SOLYTEC
103792,20/05/2026,31730029400,PARLANTE GENIUS USB SP-HF180 MADERA,14.000,6.38000,89.32000000,104.68,15.36,17.2,14.67,,LASET S.A.
103813,17/04/2023,22279,TECLADO GAMER TRUST AVONN ES GXT 830RW,1.000,13.61000,13.61000000,8.74,-4.87,-35.77,-55.7,,New Bytes INC
103819,04/12/2025,22991,MOUSE TRUST REXX ERGO GXT 144,1.000,20.37000,20.37000000,23.01,2.64,12.97,11.48,,LASET S.A.
104172,26/01/2026,CTB-1200-AP-LCD,LYONN UPS CTB-1200-AP LCD,2.000,87.40000,174.80000000,199.22,24.42,13.97,12.26,,SOLYTEC
104291,20/07/2023,F4-3600C18D-16GTRG,MEMORIA GSKILL TRIDENT Z ROYAL DDR4 16 GB 3600 RGB GOLD 2X8 1.35,1.000,101.19000,101.19000000,197.74,96.55,95.41,48.83,,New Bytes INC
104320,11/12/2025,RZ02-03330300-R3U1,MOUSEPAD RAZER GIGANTUS V2 LARGE,2.000,12.42000,24.84000000,29.54,4.7,18.91,15.91,,LASET S.A.
104321,20/10/2025,RZ02-03330400-R3U1,MOUSEPAD RAZER GIGANTUS V2 XXL,5.000,25.02000,125.10000000,149.03,23.93,19.13,16.06,,LASET S.A.
104330,08/01/2021,22052,AURICULAR GAMER TRUST RADIUS GXT350 7.1 BLACK,1.000,29.69820,29.69820000,18.88,-10.82,-36.43,-57.3,,New Bytes INC
104336,09/03/2026,22656,MICROFONO TRUST MANTIS GXT232,8.000,16.66000,133.28000000,146.78,13.5,10.13,9.2,,LASET S.A.
104466,16/10/2025,BX8070110400,PROCESADOR INTEL (LGA1200) CORE I5 10400,5.000,102.18000,510.90000000,625.07,114.17,22.35,18.27,,LASET S.A.
104510,17/03/2026,F 3000,FLUX PASTERMAX MAX 3000 EN GEL,3.000,2.01916,6.05748000,6.79,0.73,12.12,10.81,,RUBIÑO ANABEL ROMINA
104594,06/02/2023,31010125104,MOUSE USB MINI RETRACTIL GENIUS MICRO TRAVELLER WHITE,5.000,4.87200,24.36000000,24.12,-0.24,-0.98,-0.99,,New Bytes INC
104654,21/05/2026,PSD48G320081,MEMORIA PATRIOT SIGNATURE LINE DDR4 8 GB 3200 MHZ PS001556,3.000,60.68000,182.04000000,251.94,69.9,38.4,27.74,,LASET S.A.
104659,25/06/2021,9H.N1DGB.A2E,BUNGEE MOUSE ZOWIE GEAR CAMADE II BLACK-RED,1.000,28.71540,28.71540000,20.71,-8.01,-27.89,-38.68,,New Bytes INC
104666,13/04/2022,18679,WEBCAM TRUST TRINO HD,1.000,25.85520,25.85520000,12.03,-13.83,-53.49,-115.01,,LASET S.A.
104829,15/10/2025,ARXE-500,FUENTE AUREOX 500W ARXE-500,6.000,8.15000,48.90000000,75.03,26.13,53.43,34.83,,LASET S.A.
104830,03/12/2025,ARXGP-500W,FUENTE AUREOX 500W ARXGP 500,3.000,15.65000,46.95000000,65.49,18.54,39.49,28.31,,LASET S.A.
104831,23/04/2026,ARXGP-600W,FUENTE GAMER AUREOX 600W PSU ARXGP-600,3.000,16.71000,50.13000000,71.65,21.52,42.94,30.04,,LASET S.A.
104832,03/12/2025,ARXGU-80PBZ-550W,FUENTE GAMER AUREOX 550W BRONZE 80+PSU,18.000,21.65000,389.70000000,545.34,155.64,39.94,28.54,,LASET S.A.
104833,03/12/2025,ARXGU-80PBZ-650W,FUENTE GAMER AUREOX 650W BRONZE 80+PSU,34.000,23.63000,803.42000000,1110.86,307.44,38.27,27.68,,LASET S.A.
104842,09/03/2026,23791,MICROFONO TRUST GXT212 MICO USB,5.000,11.09000,55.45000000,57.62,2.17,3.91,3.76,,LASET S.A.
104843,23/04/2026,23712,AURICULAR TRUST PRIMO TOUCH BT BLACK,1.000,15.70000,15.70000000,15.19,-0.51,-3.26,-3.38,,New Bytes INC
104861,24/02/2021,23191,AURICULAR GAMER TRUST GXT 450 BLIZZ RGB 7.1,1.000,41.10120,41.10120000,44.68,3.57,8.7,8,,New Bytes INC
104935,17/04/2023,23647,ACCESORIOS BASE AURICULARES TRUST GXT 265 CINTAR RGB,1.000,24.05000,24.05000000,15.45,-8.6,-35.75,-55.64,,New Bytes INC
104936,17/04/2023,24098,TECLADO GAMER LED TRUST ZIVA ES,1.000,10.08500,10.08500000,11.27,1.19,11.76,10.52,,New Bytes INC
