ID,Ultimo_Ingreso,ID_Fab,Detalle,Cantidad,Costo_U,Costo,Venta,Renta,Benf_Cost,Benf_Vent,Cotizacion,Proveedor
119908,23/06/2025,ROG STRIX B850-E GAMING WIFI,MOTHER ASUS (AM5) ROG STRIX B850-E GAMING WIFI,1.000,333.11000,333.11000000,367.29,34.18,10.26,9.31,,LASET S.A.
121297,19/09/2025,DUAL-RTX5060TI-08G,PLACA DE VIDEO ASUS DUAL RTX 5060TI O 8GB,3.000,392.35000,1177.05000000,1244.35,67.3,5.72,5.41,,LASET S.A.
118092,16/10/2025,100-100001015BOX,PROCESADOR AMD (AM5) RYZEN 5 7600 C/COOLER,2.000,174.60000,349.20000000,387.24,38.04,10.89,9.82,,LASET S.A.
121289,12/03/2026,MILAN-2CN-G,"TECLA MILAN GRIS MACROLED, 2 CANAL, 2 VIAS, AC 250V, 10A MAX. BASTIDOR METALICO",2.000,2.08000,4.16000000,4.22,0.06,1.49,1.47,,CORESA GROUP SRL
121443,13/04/2026,MLX-D36M-A18PA-RW,WATER COOLER MASTER MASTERLIQUID 360 CORE NEX ARGB BLANCO,1.000,66.15000,66.15000000,99.52,33.37,50.45,33.53,,LASET S.A.
6839,30/07/2025,DGS-1008A,D-LINK SWITCH 8-PORT 10/1000MBPS UNMANAGED  DGS-1008A,2.000,12.31000,24.62000000,32.46,7.84,31.82,24.14,,LASET S.A.
116092,22/03/2022,EP23GX-LP4UA,PLACA DE VIDEO TUL RX 6600 8GB DDR6 (CAJA MARRON),1.000,517.36000,517.36000000,266.02,-251.34,-48.58,-94.48,,LASET S.A.
121475,13/11/2025,MF500M-KHNN-S00,GABINETE COOLER MASTER MASTERFRAME 500 MESH BLACK,1.000,112.30000,112.30000000,128.57,16.27,14.49,12.65,,LASET S.A.
117368,27/11/2024,31030011414,MOUSE WIRELESS RECARGABLE GENIUS ECO-8015 CHOCOLATE,1.000,8.91000,8.91000000,11.02,2.11,23.64,19.12,,LASET S.A.
120874,03/07/2025,INVADERXMINIMT-BKCWW,GABINETE ADATA XPG INVADER X MINI BLACK,1.000,42.71000,42.71000000,44.88,2.17,5.08,4.84,,LASET S.A.
2936,13/11/2025,SFX_500,FUENTE SFX 500W 20+4 SATA,9.000,8.48000,76.32000000,97.83,21.51,28.18,21.99,,LASET S.A.
6611,28/08/2025,DWA-182,D-LINK USB WIFI DWA-182  5 AC1200 DUAL BAND,1.000,10.00000,10.00000000,13.06,3.06,30.56,23.4,,EL AUDITOR SA
118312,05/08/2025,RX 6600 CLD 8GB,PLACA DE VIDEO ASROCK RX 6600 8GB CHALLENGER,4.000,201.28000,805.12000000,955.21,150.09,18.64,15.71,,LASET S.A.
121448,13/04/2026,E481-KHNN-S00,GABINETE COOLER MASTER ELITE 481,3.000,42.12000,126.36000000,159.67,33.31,26.36,20.86,,LASET S.A.
111356,08/05/2026,PASTERMAX A90,GRASA SILICONADA PASTERMAX PARA CPU A90 (GRIS) PASTA TERMICA,4.000,1.83095,7.32380000,8.14,0.81,11.12,10,,RUBIÑO ANABEL ROMINA
118452,22/05/2026,RZ01-03850100-R3M1,MOUSE GAMER RAZER DEATHADDER ESSENTIAL BLACK,17.000,13.98000,237.66000000,275.35,37.69,15.86,13.69,,LASET S.A.
118770,01/08/2025,X922TBF,GABINETE GAMER RAIDMAX MESHIAN X922 BLACK ATX TG ARGB,6.000,23.94000,143.64000000,247.32,103.68,72.18,41.92,,LASET S.A.
119887,20/04/2025,GP-UD850GM PG5W,FUENTE GAMER GIGABYTE 850W 80 PLUS ICE (BLANCA) PG5,2.000,88.72000,177.44000000,197.74,20.3,11.44,10.26,,LASET S.A.
119905,25/09/2025,ROG STRIX B850-A GAMING WIFI,MOTHER ASUS (AM5) ROG STRIX B850-A GAMING WIFI,1.000,247.38000,247.38000000,274.12,26.74,10.81,9.76,,LASET S.A.
120247,10/11/2025,DM-ENC1WF,ENCHUFE HUNNOX SMART BLANCO,8.000,6.27000,50.16000000,72.61,22.45,44.76,30.92,,LASET S.A.
121385,04/12/2025,25485,ACCESORIOS TRUST MYLOX CONTROLADOR GAMING INALAMBRICO PARA MOVIL BLACK GXT735,4.000,23.69000,94.76000000,118.13,23.37,24.67,19.79,,LASET S.A.
103792,20/05/2026,31730029400,PARLANTE GENIUS USB SP-HF180 MADERA,3.000,6.38000,19.14000000,22.79,3.65,19.05,16,,LASET S.A.
104510,17/03/2026,F 3000,FLUX PASTERMAX MAX 3000 EN GEL,5.000,2.01916,10.09580000,9.94,-0.15,-1.52,-1.54,,RUBIÑO ANABEL ROMINA
119193,27/03/2025,A620M-C R2.0 BULK,MOTHER ASROCK (AM5) A620M-C R2 WIFI-AX+BT (BULK),1.000,87.55000,87.55000000,94.2,6.65,7.6,7.06,,LASET S.A.
120342,20/08/2025,B850 GAMING X WIFI6E,MOTHER GIGABYTE (AM5) B850 GAMING X WIFI6E,3.000,166.16000,498.48000000,575.32,76.84,15.42,13.36,,LASET S.A.
120465,20/05/2026,31030042400,MOUSE WIRELESS GENIUS NX-8080S BT-2.4Ghz BLACK,1.000,7.55000,7.55000000,8.48,0.93,12.26,10.92,,LASET S.A.
116345,12/02/2026,PVE248G320C8,MEMORIA PATRIOT DDR4 VIPER ELITE 2 8GB 3200 MHZ CL18 RED/BLK PE000830,4.000,32.54000,130.16000000,198.91,68.75,52.82,34.56,,LASET S.A.
