ID,Ultimo_Ingreso,ID_Fab,Detalle,Cantidad,Costo_U,Costo,Venta,Renta,Benf_Cost,Benf_Vent,Cotizacion,Proveedor
104666,13/04/2022,18679,WEBCAM TRUST TRINO HD,2.000,25.85520,51.71040000,38.03,-13.68,-26.46,-35.99,,LASET S.A.
120500,25/04/2025,4902370548563,CONSOLA NINTENDO SWITCH OLED NEON BLUE RED COMAND,1.000,295.04000,295.04000000,350.3,55.26,18.73,15.77,,BAIRES INTERNACIONAL SRL
120811,26/05/2026,GP-GIGABYTE GME 240I,WATER COOLER GIGABYTE GAMING GME 240I (WHITE),1.000,62.87000,62.87000000,72.44,9.57,15.22,13.21,,LASET S.A.
121081,28/07/2025,CA-1T9-00M6WN-00,GABINETE THERMALTAKE H570 TG SNOW WHITE TEMPERED GLASS,2.000,48.83000,97.66000000,126.25,28.59,29.28,22.65,,LASET S.A.
120003,15/09/2025,CA-1Z4-00M1WN-00,GABINETE THERMALTAKE VIEW 170 TG ARGB BLACK TEMPERED GLASS,1.000,32.78000,32.78000000,49.23,16.45,50.17,33.41,,LASET S.A.
120493,11/12/2025,RZ01-05230100-R3M1,MOUSE GAMER RAZER BASILISK V3 35K,3.000,48.04000,144.12000000,167.7,23.58,16.36,14.06,,LASET S.A.
121066,08/09/2025,SDSSDX3N-1T00-G26,DISCO SSD M.2 1TB SANDISK EXTREME NVME,3.000,62.16000,186.48000000,209.62,23.14,12.41,11.04,,LASET S.A.
102048,06/11/2024,,SERVICIO DE TRANSPORTE,610.000,12.60000,7686.00000000,192.43,-7493.57,-97.5,-3894.13,,New Bytes INC
118491,30/07/2025,TUF GAMING A620M-PLUS WIFI,MOTHER ASUS (AM5) TUF GAMING A620M-PLUS WIFI,3.000,108.73000,326.19000000,363.44,37.25,11.42,10.25,,LASET S.A.
119086,03/12/2025,ARX 200G SKOLL,GABINETE GAMER AUREOX SKOLL ARX 200G,5.000,13.56000,67.80000000,160.15,92.35,136.21,57.66,,LASET S.A.
104349,24/02/2021,23337,MOUSE TRUST SKETCH SILENT WIRELESS YELLOW,1.000,8.85080,8.85080000,8.78,-0.07,-0.77,-0.77,,New Bytes INC
119035,16/05/2024,B760M K DDR4,MOTHER GIGABYTE (LGA1700) B760M K DDR4,1.000,120.24000,120.24000000,92.28,-27.96,-23.25,-30.3,,LASET S.A.
120157,07/03/2025,TUF GAMING GT302 ARGB WHITE,GABINETE GAMER ASUS GT302 TUF GAMING ARGB WHITE,1.000,142.00000,142.00000000,99.87,-42.13,-29.67,-42.19,,LASET S.A.
121240,28/08/2025,DWA-172,D-LINK USB WIFI DWA-172 AC600 DUAL C/ANTENA,1.000,7.20000,7.20000000,8.64,1.44,19.98,16.66,,EL AUDITOR SA
119127,20/01/2026,AX4U320016G16A-SBKD35G,MEMORIA XPG 16GB 18I DDR4 3200 RGB,19.000,89.98000,1709.62000000,831.17,-878.45,-51.38,-105.69,,LASET S.A.
119406,12/02/2026,PVVR516G60C30,MEMORIA PATRIOT VIPER VENOM DDR5 16GB 6000 MTS CL30 BLK RGB PE001063,1.000,199.49000,199.49000000,68.69,-130.8,-65.57,-190.43,,LASET S.A.
119448,05/05/2026,GS27FA SA,MONITOR GAMER GIGABYTE 27 GS27FA-SA,5.000,107.35000,536.75000000,706.55,169.8,31.64,24.03,,LASET S.A.
119760,14/04/2025,100-100001084WOF,PROCESADOR AMD (AM5) RYZEN 7 9800X3D,27.000,415.54000,11219.58000000,12281.98,1062.4,9.47,8.65,,LASET S.A.
104290,20/07/2023,F4-3600C18D-16GTRS,MEMORIA GSKILL TRIDENT Z ROYAL DDR4 16 GB 3600 RGB SILVER 2X8 1.35,2.000,101.19000,202.38000000,135.54,-66.84,-33.03,-49.32,,New Bytes INC
118861,01/03/2024,24998,TECLADO GAMER TRUST EVOCX ES GXT 836,2.000,16.75000,33.50000000,42.51,9.01,26.9,21.2,,LASET S.A.
121129,11/12/2025,RZ06-03550100-R3U1,GAMEPAD RAZER KISHI V3 USB-C SMARTPHONE,2.000,60.05000,120.10000000,143.41,23.31,19.41,16.25,,LASET S.A.
116795,13/08/2025,NTBSD4N32SP-08,MEMORIA NETAC BASIC DDR4 SODIMM 8GB 3200 C22,3.000,15.15000,45.45000000,59.2,13.75,30.25,23.23,,LASET S.A.
117257,14/07/2025,WDS240G3G0A,DISCO SSD SATA 240 GB WD GREEN,19.000,19.35000,367.65000000,434.41,66.76,18.16,15.37,,LASET S.A.
118332,07/07/2025,31030031400,MOUSE GENIUS RS2 ERGO 8250S CHAMPAGNE GOLD,1.000,9.09000,9.09000000,11.38,2.29,25.23,20.15,,LASET S.A.
120638,09/01/2026,UN50DU7000GCZB,SAMSUNG TV SMART 50 CRYSTAL UHD 4K SERIE CU7000,1.000,297.93205,297.93205000,323.81,25.88,8.69,7.99,,MULTIPOINT SA (MULTIRADIO)
108992,03/06/2024,31710010400,AURICULAR GAMER GX GAMING GENIUS HS-610 BLACK,1.000,19.50000,19.50000000,20.27,0.77,3.93,3.79,,LASET S.A.
118064,26/03/2025,ROG STRIX X670E-E GAMING WIFI,MOTHER ASUS (AM5) ROG STRIX X670E-E GAMING WIFI,1.000,412.00000,412.00000000,435.16,23.16,5.62,5.32,,LASET S.A.
119158,01/08/2025,NV-IX120FBP,COOLER FAN 120mm ARGB PMW RAIDMAX INFINITA-AIR BLACK,2.000,4.38000,8.76000000,16.58,7.82,89.26,47.16,,LASET S.A.
119704,17/02/2025,31730050402,PARLANTE GENIUS SW-2.1 1850BT BLACK,1.000,72.11000,72.11000000,88.74,16.63,23.06,18.74,,LASET S.A.
119877,03/09/2025,X870 EAGLE WIFI7,MOTHER GIGABYTE (AM5) X870 EAGLE WIFI7,1.000,195.32000,195.32000000,225.23,29.91,15.31,13.28,,LASET S.A.
120095,17/02/2025,31010027400,MOUSE USB GENIUS DX-125S BLACK/GRAY,1.000,2.42000,2.42000000,2.89,0.47,19.28,16.16,,LASET S.A.
120434,04/12/2025,25418,ACCESORIOS TRUST ESTUCHE RIGIDO PARA NINTENDO SWITCH RED GXT1248S,1.000,7.12000,7.12000000,9.34,2.22,31.22,23.79,,LASET S.A.
121164,08/08/2025,LM2150,MONITOR DAIHATSU LED 22 OFISU LM23150 HD HDMI VGA BLACK,2.000,60.23099,120.46198000,148.1,27.64,22.95,18.66,,international trends
118225,05/08/2025,P400LP1KGM28H,DISCO SSD PATRIOT P400 LITE 1000 GB M.2 2280 GEN4 PS001655,2.000,47.12000,94.24000000,123.66,29.42,31.22,23.79,,LASET S.A.
119141,28/04/2026,100-100001404WOF,PROCESADOR AMD (AM5) RYZEN 7 9700X,2.000,317.61000,635.22000000,669.37,34.15,5.38,5.1,,LASET S.A.
121166,19/05/2026,PRIME LC 240 ARGB,WATER COOLER ASUS PRIME LC 240 ARGB,1.000,65.70000,65.70000000,97.85,32.15,48.93,32.86,,LASET S.A.
