ID,Ultimo_Ingreso,ID_Fab,Detalle,Cantidad,Costo_U,Costo,Venta,Renta,Benf_Cost,Benf_Vent,Cotizacion,Proveedor
118092,16/10/2025,100-100001015BOX,PROCESADOR AMD (AM5) RYZEN 5 7600 C/COOLER,17.000,174.60000,2968.20000000,3310.54,342.34,11.53,10.34,,LASET S.A.
121168,19/09/2025,PRIME H510M-R R2.0,MOTHER ASUS PRIME (LGA1200) H510M-R R2.0,3.000,49.56000,148.68000000,167.26,18.58,12.5,11.11,,LASET S.A.
111356,08/05/2026,PASTERMAX A90,GRASA SILICONADA PASTERMAX PARA CPU A90 (GRIS) PASTA TERMICA,4.000,1.83095,7.32380000,10.85,3.53,48.17,32.51,,RUBIÑO ANABEL ROMINA
118452,22/05/2026,RZ01-03850100-R3M1,MOUSE GAMER RAZER DEATHADDER ESSENTIAL BLACK,8.000,13.98000,111.84000000,132.17,20.33,18.17,15.38,,LASET S.A.
118770,01/08/2025,X922TBF,GABINETE GAMER RAIDMAX MESHIAN X922 BLACK ATX TG ARGB,5.000,23.94000,119.70000000,211.3,91.6,76.53,43.35,,LASET S.A.
119375,20/02/2026,100-100001277WOF,PROCESADOR AMD (AM5) RYZEN 9 9950X,4.000,555.00000,2220.00000000,2356.57,136.57,6.15,5.8,,LASET S.A.
119887,20/04/2025,GP-UD850GM PG5W,FUENTE GAMER GIGABYTE 850W 80 PLUS ICE (BLANCA) PG5,5.000,88.72000,443.60000000,483.21,39.61,8.93,8.2,,LASET S.A.
109605,04/12/2025,24067,TECLADO TRUST THADO TKL ES GXT833,1.000,11.78000,11.78000000,15.77,3.99,33.86,25.3,,LASET S.A.
118405,28/07/2025,CA-1S4-00S1WN-00,GABINETE GAMER THERMALTAKE DIVIDER 170 TG ARGB BLACK TEMP GLASS,1.000,42.83000,42.83000000,60.98,18.15,42.37,29.76,,LASET S.A.
118933,22/05/2025,PSD516G480081S,MEMORIA PATRIOT SIGNATURE LINE SODIMM DDR5 16GB 4800MT/S PS001642,3.000,29.65000,88.95000000,108.7,19.75,22.2,18.17,,LASET S.A.
119723,29/07/2025,B550M AORUS ELITE,MOTHER GIGABYTE (AM4) B550M AORUS ELITE,8.000,81.28000,650.24000000,729.51,79.27,12.19,10.87,,LASET S.A.
119968,10/02/2025,25126,MOUSE TRUST REDEX II WIRELESS GXT926,2.000,18.09000,36.18000000,38.92,2.74,7.57,7.04,,LASET S.A.
120359,29/07/2025,B760M AORUS ELITE,MOTHER GIGABYTE (LGA1700) B760M AORUS ELITE,1.000,132.33000,132.33000000,148.45,16.12,12.18,10.86,,LASET S.A.
111597,07/10/2021,TEC ARXP-GK600,TECLADO MEC AUREOX UNRIVAILED GAMING GK600,1.000,20.62480,20.62480000,28.38,7.75,37.58,27.32,,LASET S.A.
118053,27/05/2026,CTB-1500-AP LCD,LYONN UPS CTB-1500-AP LCD,1.000,116.85448,116.85448000,151.41,34.55,29.57,22.82,,SOLYTEC
119746,06/04/2026,82YU012PAR,NOTEBOOK LENOVO V15 AMD R5 7520U 16GB 512GB 15.6 FULL HD,1.000,717.91353,717.91353000,610.96,-106.95,-14.9,-17.51,,Microglobal Argentina Sa
120804,09/02/2026,GP-AE1000PM PG5 ICE,FUENTE GAMER GIGABYTE 1000W AORUS PG5 ICE 80 PLUS PLATINUM MODULAR ATX3.0 WHITE,5.000,137.51000,687.55000000,697.06,9.51,1.38,1.36,,LASET S.A.
121136,22/05/2026,RZ01-04640100-R3M1,MOUSE GAMER RAZER DEATHADDER V3 30K WIRED,1.000,43.39000,43.39000000,53.04,9.65,22.24,18.19,,LASET S.A.
108773,12/08/2025,LF24T350FHLCZB,MONITOR SAMSUNG LED 24 T350H,1.000,74.60000,74.60000000,88.97,14.37,19.27,16.15,,Ceven
119734,19/09/2025,PRIME X870-P WIFI,MOTHER ASUS (AM5) PRIME X870-P WIFI,1.000,230.25000,230.25000000,261.26,31.01,13.47,11.87,,LASET S.A.
117869,20/05/2026,31030027400,MOUSE WIRELESS GENIUS NX-7000 BLACK,7.000,4.28000,29.96000000,36.74,6.78,22.62,18.45,,LASET S.A.
119004,03/12/2025,31240003400,GENIUS UH-500 HUB USB-C HDMI 4K/60HZ PD-100W,1.000,13.86000,13.86000000,19.78,5.92,42.69,29.92,,LASET S.A.
119193,27/03/2025,A620M-C R2.0 BULK,MOTHER ASROCK (AM5) A620M-C R2 WIFI-AX+BT (BULK),6.000,87.55000,525.30000000,580.22,54.92,10.46,9.47,,LASET S.A.
120342,20/08/2025,B850 GAMING X WIFI6E,MOTHER GIGABYTE (AM5) B850 GAMING X WIFI6E,1.000,166.16000,166.16000000,192.77,26.61,16.01,13.8,,LASET S.A.
120367,15/07/2025,GV-N5090AORUS M-32GD,PLACA DE VIDEO GIGABYTE RTX 5090 AORUS MASTER 32GB,3.000,2675.00000,8025.00000000,8963.13,938.13,11.69,10.47,,LASET S.A.
6839,30/07/2025,DGS-1008A,D-LINK SWITCH 8-PORT 10/1000MBPS UNMANAGED  DGS-1008A,3.000,12.31000,36.93000000,46.78,9.85,26.68,21.06,,LASET S.A.
108722,03/12/2025,32200003400,WEBCAM GENIUS FACECAM 1000X V2 BLACK,1.000,10.89000,10.89000000,11.27,0.38,3.46,3.34,,LASET S.A.
113158,12/02/2026,P300P1TBM28,DISCO SSD PATRIOT P300 1TB M.2 2280 PCIE GEN3 X4 PE000693,10.000,109.61000,1096.10000000,527.8,-568.3,-51.85,-107.67,,LASET S.A.
115803,29/07/2025,ASU650SS-960GT-R,DISCO SSD ADATA SU650 2.5 960 GB,2.000,43.65000,87.30000000,98.98,11.68,13.38,11.8,,ADATA TECHNOLOGY
120874,03/07/2025,INVADERXMINIMT-BKCWW,GABINETE ADATA XPG INVADER X MINI BLACK,1.000,42.71000,42.71000000,54.47,11.76,27.53,21.59,,LASET S.A.
2936,13/11/2025,SFX_500,FUENTE SFX 500W 20+4 SATA,8.000,8.48000,67.84000000,95.23,27.39,40.37,28.76,,LASET S.A.
