ID,Ultimo_Ingreso,ID_Fab,Detalle,Cantidad,Costo_U,Costo,Venta,Renta,Benf_Cost,Benf_Vent,Cotizacion,Proveedor
120881,03/07/2025,VALORAIRMT-WHCWW,GABINETE ADATA XPG VALOR AIR WHITE,2.000,32.04000,64.08000000,81.72,17.64,27.53,21.59,,LASET S.A.
121215,16/04/2026,MO27Q2,MONITOR GAMER GIGABYTE 27 MO27Q2-SA,1.000,504.01000,504.01000000,608.85,104.84,20.8,17.22,,LASET S.A.
118367,15/05/2025,B550M-HDV,MOTHER ASROCK (AM4) B550M-HDV,1.000,64.36000,64.36000000,73.27,8.91,13.84,12.16,,LASET S.A.
121064,08/09/2025,GV-R9060XTGAMING OC-8GD,PLACA DE VIDEO GIGABYTE RADEON RX 9060XT GAMING OC 8GB,3.000,325.15000,975.45000000,1050.65,75.2,7.71,7.16,,LASET S.A.
102048,06/11/2024,,SERVICIO DE TRANSPORTE,894.000,12.60000,11264.40000000,240.74,-11023.66,-97.86,-4579.16,,New Bytes INC
118491,30/07/2025,TUF GAMING A620M-PLUS WIFI,MOTHER ASUS (AM5) TUF GAMING A620M-PLUS WIFI,3.000,108.73000,326.19000000,363.82,37.63,11.54,10.34,,LASET S.A.
119086,03/12/2025,ARX 200G SKOLL,GABINETE GAMER AUREOX SKOLL ARX 200G,2.000,13.56000,27.12000000,63.28,36.16,133.33,57.14,,LASET S.A.
120534,15/09/2025,CA-1Z2-00MEWN-00,GABINETE THERMALTAKE VIEW 380 TG ARGB MATCHA GREEN TEMPERED GLASS,1.000,71.83000,71.83000000,88.29,16.46,22.92,18.64,,LASET S.A.
120620,22/05/2025,9S7-158N31-621,"Notebook MSI Katana B8VF A15 15.6"" + Ryzen 7 8845HS + 16gb (2x8) + 512gb + RTX 4060 8GB Win11",1.000,1326.50000,1326.50000000,1446.6,120.1,9.05,8.3,,LASET S.A.
103788,27/11/2024,31300008401,TECLADO GENIUS RS2 KB-116 SP BLK,5.000,4.81000,24.05000000,27.5,3.45,14.33,12.54,,LASET S.A.
119172,27/11/2024,31310055401,TECLADO USB GENIUS SLIMSTAR 820 RETROILUMINADO BLACK,1.000,6.53000,6.53000000,6.87,0.34,5.28,5.01,,LASET S.A.
120651,03/09/2025,B840M DS3H,MOTHER GIGABYTE (AM5) B840M DS3H,3.000,105.09000,315.27000000,344.52,29.25,9.28,8.49,,LASET S.A.
121247,20/08/2025,B550M GAMING X WIFI6,MOTHER GIGABYTE (AM4) B550M GAMING X WIFI6,3.000,90.92000,272.76000000,304.89,32.13,11.78,10.54,,LASET S.A.
109178,15/02/2022,903-W1-17GR,MOUSE GAMER EVGA X17 GREY,2.000,5.33600,10.67200000,51.37,40.69,381.32,79.22,,LASET S.A.
115743,13/05/2026,NT01N535N-001T-N8X,DISCO SSD NETAC N535N M.2 2280 SATAIII 3D NAND SSD 1TB,5.000,137.41000,687.05000000,275.57,-411.48,-59.89,-149.32,,LASET S.A.
116344,12/02/2026,PVE2416G320C8,MEMORIA PATRIOT DDR4 VIPER ELITE 2 16GB 3200 MHZ CL18 RED/BLK PE000829,4.000,112.21000,448.84000000,159.93,-288.91,-64.37,-180.64,,LASET S.A.
119120,15/01/2025,NTSWD5P48SP-08W,MEMORIA NETAC SHADOW II DDR5 4800 8GB C40 WHITE,9.000,20.46000,184.14000000,215.78,31.64,17.18,14.66,,LASET S.A.
119218,04/12/2025,25144,MOUSE GAMER TRUST BAYO II ERGO WIRED BLACK,1.000,11.37000,11.37000000,15.18,3.81,33.49,25.09,,LASET S.A.
