ID,Ultimo_Ingreso,ID_Fab,Detalle,Cantidad,Costo_U,Costo,Venta,Renta,Benf_Cost,Benf_Vent,Cotizacion,Proveedor
120099,03/12/2025,31030030400,MOUSE WIRELESS GENIUS NX-7009 BLACK,24.000,4.38000,105.12000000,121.66,16.54,15.73,13.59,,LASET S.A.
106746,26/12/2025,100-100000063WOF,PROCESADOR AMD (AM4) RYZEN 7 5800X / SIN COOLER,3.000,211.16000,633.48000000,731.23,97.75,15.43,13.37,,LASET S.A.
121148,20/08/2025,VY229HF-J,MONITOR 22 ASUS VY229HF FHD IPS 100hz 1ms,4.000,64.41000,257.64000000,324.37,66.73,25.9,20.57,,LASET S.A.
103750,13/04/2026,DESIRE-500AP LED,LYONN UPS DESIRE-500AP LED,6.000,27.45500,164.73000000,196.65,31.92,19.37,16.23,,SOLYTEC
109621,09/02/2022,23833,PARLANTE TRUST CARO MAX POWERFULL  BLUETHOOT,1.000,49.99680,49.99680000,35.62,-14.38,-28.76,-40.37,,New Bytes INC
119929,11/12/2025,RZ03-05021700-R311,TECLADO GAMER RAZER HUNTSMAN V3 X TENKEYLESS PURPLE CLICKY ESPAÑOL,2.000,72.06000,144.12000000,180.37,36.25,25.15,20.1,,LASET S.A.
121094,30/07/2025,DGS-1016D,D-LINK SWITCH DGS-1016D 16-PORT 10/1001000BPS UNMANAGED,1.000,38.87000,38.87000000,47.68,8.81,22.68,18.49,,LASET S.A.
104775,19/05/2026,PRIME B550M-K,MOTHER ASUS (AM4) PRIME B550M-K,9.000,68.77000,618.93000000,687.06,68.13,11.01,9.92,,LASET S.A.
119230,04/12/2025,24790,JOYSTICK TRUST MUTA WIRELESS GXT542,1.000,24.90000,24.90000000,33.51,8.61,34.57,25.69,,LASET S.A.
113139,15/10/2025,VOLANS ARX360G,GABINETE GAMER AUREOX VOLANS ARX360G,2.000,18.85000,37.70000000,54.83,17.13,45.45,31.25,,LASET S.A.
114626,27/11/2025,193V5LHSB2/77,MONITOR 19 PHILIPS VGA HDMI VESA,1.000,63.45336,63.45336000,68.43,4.98,7.85,7.27,,CORCISA SA
119165,20/05/2026,31010026400,MOUSE USB GENIUS DX-101 BLACK,25.000,1.96000,49.00000000,57.96,8.96,18.28,15.45,,LASET S.A.
120827,25/06/2025,4P4F5AI,TECLADO HYPERX ALLOY CORE RGB,1.000,40.39000,40.39000000,44.76,4.37,10.81,9.76,,Ceven
118727,14/07/2025,DWA-582,D-LINK PLACA DE RED PCI-E  DWA-582 WIFI 5 AC1200 DUAL BAND CON 2 ANTENAS,3.000,16.77000,50.31000000,58.12,7.81,15.52,13.44,,LASET S.A.
118943,04/04/2024,B550M PG RIPTIDE,MOTHER ASROCK (AM4) B550M PG RIPTIDE,1.000,114.96000,114.96000000,114.63,-0.33,-0.29,-0.29,,LASET S.A.
120536,15/09/2025,CL-P120-CA12SW-A,CPU COOLER THERMALTAKE ASTRIA 400 AIR 6 PIPE SYNC,1.000,41.76000,41.76000000,48.76,7,16.75,14.35,,LASET S.A.
121284,15/09/2025,TPD-850AH2FXG-3 W,FUENTE GAMER THERMALTAKE TP GT 850W ANALOG 80 PLUS GOLD WHITE,1.000,78.90000,78.90000000,90.56,11.66,14.77,12.87,,LASET S.A.
121405,03/12/2025,32200004400,WEBCAM GENIUS WIDECAM F100 V2,1.000,24.65000,24.65000000,29.75,5.1,20.7,17.15,,LASET S.A.
