ID,Ultimo_Ingreso,ID_Fab,Detalle,Cantidad,Costo_U,Costo,Venta,Renta,Benf_Cost,Benf_Vent,Cotizacion,Proveedor
108601,22/06/2023,23148,TRUST GAMING COMBO TECLADO  4EN1 GXT1180RW,2.000,34.92760,69.85520000,52.67,-17.18,-24.6,-32.62,,New Bytes INC
118306,20/01/2026,AD5S480016G-S,MEMORIA ADATA SODIMM  DDR5 16GB 4800,3.000,145.58000,436.74000000,109.52,-327.22,-74.92,-298.79,,LASET S.A.
119720,20/04/2025,A620M H 1.0,MOTHER GIGABYTE (AM5) A620M H,2.000,62.98000,125.96000000,141.98,16.02,12.72,11.29,,LASET S.A.
119767,29/07/2025,AORUS FO27Q2 SA,MONITOR GAMER GIGABYTE LED 26.5 AORUS FO27Q2 SA,1.000,505.37000,505.37000000,724.24,218.87,43.31,30.22,,LASET S.A.
119927,19/05/2025,RZ03-04691900-R3U1,TECLADO GAMER RAZER BLACKWIDOW V4 SWITCH YELLOW,3.000,114.27000,342.81000000,383.84,41.03,11.97,10.69,,LASET S.A.
120500,25/04/2025,4902370548563,CONSOLA NINTENDO SWITCH OLED NEON BLUE RED COMAND,1.000,295.04000,295.04000000,370.73,75.69,25.65,20.42,,BAIRES INTERNACIONAL SRL
116795,13/08/2025,NTBSD4N32SP-08,MEMORIA NETAC BASIC DDR4 SODIMM 8GB 3200 C22,1.000,15.15000,15.15000000,14.65,-0.5,-3.32,-3.43,,LASET S.A.
117542,23/04/2026,NT01SA500-120-S3X,DISCO SSD NETAC SA500 2.5 SATA3 120 GB,73.000,6.43000,469.39000000,671.09,201.7,42.97,30.06,,LASET S.A.
118267,26/05/2026,A520M DS3H V2,MOTHER GIGABYTE (AM4) A520M DS3H V2,4.000,55.84000,223.36000000,243.42,20.06,8.98,8.24,,LASET S.A.
119772,30/12/2024,Z890 PRO-A WIFI,MOTHER ASROCK (LGA1851) Z890 PRO-A WIFI,2.000,185.08000,370.16000000,409.58,39.42,10.65,9.62,,LASET S.A.
